ENFP	age is an issue of mind over matter . if you do not mind , it does not matter .
ESTJ	anyone who stops learning is old , whether at twenty or eighty . anyone who keeps learning stays young . the greatest thing in life is to keep your mind young .
ENFP	wrinkles should merely indicate where smiles have been .
ENFP	true terror is to wake up one morning and discover that your high school class is running the country .
ESFJ	as i grow older , i pay less attention to what men say . i just watch what they do .
INFJ	an archaeologist is the best husband a woman can have . the older she gets the more interested he is in her .
ENTJ	bashfulness is an ornament to youth , but a reproach to old age .
INFP	alas , after a certain age every man is responsible for his face .
ESTP	old age is like everything else . to make a success of it , you have got to start young .
ENTP	what most persons consider as virtue , after the age of 40 is simply a loss of energy .
INTJ	old minds are like old horses you must exercise them if you wish to keep them in working order .
ISTP	you know you are getting old when all the names in your black book have m. d. after them .
ESTP	if you have not turned rebel by twenty you have got no heart if you have not turned establishment by thirty you have got no brains !
INTP	common sense is the collection of prejudices acquired by age eighteen .
INTP	reading , after a certain age , diverts the mind too much from its creative pursuits . any man who reads too much and uses his own brain too little falls into lazy habits of thinking .
INTP	confusion of goals and perfection of means seems , in my opinion , to characterize our age .
INTP	perfection of means and confusion of ends seem to characterize our age .
ENFP	life would be infinitely happier if we could only be born at the age of eighty and gradually approach eighteen .
INTJ	when marrying , ask yourself this question : do you believe that you will be able to converse well with this person into your old age ? everything else in marriage is transitory .
INFJ	as human beings , our greatness lies not so much in being able to remake the world - that is the myth of the atomic age - as in being able to remake ourselves .
INFP	a man loves the meat in his youth that he can not endure in his age .
INFJ	in every country and every age , the priest had been hostile to liberty .
INFP	the golden age is before us , not behind us .
INFJ	every formula of every religion has in this age of reason , to submit to the acid test of reason and universal assent .
ESFP	thomas jefferson once said , we should never judge a president by his age , only by his works .  and ever since he told me that , i stopped worrying .
ENFP	no woman should ever be quite accurate about her age . it looks so calculating .
ENTP	at twenty years of age the will reigns at thirty , the wit and at forty , the judgment .
ENFP	age does not protect you from love . but love , to some extent , protects you from age .
ESFP	information is the oxygen of the modern age . it seeps through the walls topped by barbed wire , it wafts across the electrified borders .
ESFP	we prefer world law in the age of self-determination to world war in the age of mass extermination .
ENTJ	education is the best provision for old age .
ISFP	sometimes i think it would be easier to avoid old age , to die young , but then you d never complete your life , would you ? you d never wholly know you .
ENFJ	i do not think of myself as a poor deprived ghetto girl who made good . i think of myself as somebody who from an early age knew i was responsible for myself , and i had to make good .
ISFP	the kids are old enough now - i just want to let them be kids . i do not want to comment on them too much . they are at an age where i just want to let them be kids .
ENFJ	why should society feel responsible only for the education of children , and not for the education of all adults of every age ?
ESTP	hesitation increases in relation to risk in equal proportion to age .
ENFJ	books were my pass to personal freedom . i learned to read at age three , and soon discovered there was a whole world to conquer that went beyond our farm in mississippi .
INFP	in our age there is no such thing as keeping out of politics .  all issues are political issues , and politics itself is a mass of lies , evasions , folly , hatred and schizophrenia .
ENFP	the secret of genius is to carry the spirit of the child into old age , which mean never losing your enthusiasm .
ESFP	we are not in an information age , we are in an entertainment age .
ENTP	he who has not the spirit of this age , has all the misery of it .
ISTP	i think being able to age gracefully is a very important talent . it is too late for me .
ESTP	age wrinkles the body . quitting wrinkles the soul .
ENTP	i do not need you to remind me of my age . i have a bladder to do that for me .
ESTP	men of age object too much , consult too long , adventure too little , repent too soon , and seldom drive business home to the full period , but content themselves with a mediocrity of success .
ENTJ	dressing up is a bore . at a certain age , you decorate yourself to attract the opposite sex , and at a certain age , i did that . but i am past that age .
ISTP	how young can you die of old age ?
ISTJ	if youth knew if age could .
ISFP	i think the biggest disease the world suffers from in this day and age is the disease of people feeling unloved . i know that i can give love for a minute , for half an hour , for a day , for a month , but i can give . i am very happy to do that , i want to do that .
ENFP	the charm of history and its enigmatic lesson consist in the fact that , from age to age , nothing changes and yet everything is completely different .
ISFP	i created punk for this day and age . do you see britney walking around wearing ties and singing punk ? hell no . that s what i do . i am like a sid vicious for a new generation .
ENFP	we are all geniuses up to the age of ten .
INTJ	every age has its own poetry in every age the circumstances of history choose a nation , a race , a class to take up the torch by creating situations that can be expressed or transcended only through poetry .
ISFP	i suppose when they reach a certain age some men are afraid to grow up . it seems the older the men get , the younger their new wives get .
ESFP	publishing is in a kind of jurassic age .
ENTP	to teach how to live without certainty and yet without being paralysed by hesitation is perhaps the chief thing that philosophy , in our age , can do for those who study it .
ENTP	it is possible that mankind is on the threshold of a golden age but , if so , it will be necessary first to slay the dragon that guards the door , and this dragon is religion .
ENTJ	nobody expects to trust his body overmuch after the age of fifty .
ESTJ	i have the problems of , i must confess , old age .
ESFJ	bad news is not wine . it does not improve with age .
INFP	not to expose your true feelings to an adult seems to be instinctive from the age of seven or eight onwards .
ENTP	admiration of the proletariat , like that of dams , power stations , and aeroplanes , is part of the ideology of the machine age .
ENTP	but the age of chivalry is gone . that of sophisters , economists , and calculators has succeeded and the glory of europe is extinguished forever .
INTJ	the ruling ideas of each age have ever been the ideas of its ruling class .
ENTP	the arrogance of age must submit to be taught by youth .
ISFP	the biggest disease this day and age is that of people feeling unloved .
ISTJ	few women , i fear , have had such reason as i have to think the long sad years of youth were worth living for the sake of middle age .
ESTJ	and in my own life , in my own small way , i have tried to give back to this country that has given me so much . that s why i left a job at a law firm for a career in public service , working to empower young people to volunteer in their communities . because i believe that each of us - no matter what our age or background or walk of life - each of us has something to contribute to the life of this nation .
