ENFP	Age is an issue of mind over matter . If you do n't mind , it does n't matter .
ESTJ	Anyone who stops learning is old , whether at twenty or eighty . Anyone who keeps learning stays young . The greatest thing in life is to keep your mind young .
ENFP	Wrinkles should merely indicate where smiles have been .
ENFP	True terror is to wake up one morning and discover that your high school class is running the country .
ESFJ	As I grow older , I pay less attention to what men say . I just watch what they do .
INFJ	An archaeologist is the best husband a woman can have . The older she gets the more interested he is in her .
ENTJ	Bashfulness is an ornament to youth , but a reproach to old age .
INFP	Alas , after a certain age every man is responsible for his face .
ESTP	Old age is like everything else . To make a success of it , you 've got to start young .
ENTP	What most persons consider as virtue , after the age of 40 is simply a loss of energy .
INTJ	Old minds are like old horses you must exercise them if you wish to keep them in working order .
ISTP	You know you 're getting old when all the names in your black book have M. D. after them .
ESTP	If you have n't turned rebel by twenty you 've got no heart if you have n't turned establishment by thirty you 've got no brains !
INTP	Common sense is the collection of prejudices acquired by age eighteen .
INTP	Reading , after a certain age , diverts the mind too much from its creative pursuits . Any man who reads too much and uses his own brain too little falls into lazy habits of thinking .
INTP	Confusion of goals and perfection of means seems , in my opinion , to characterize our age .
INTP	Perfection of means and confusion of ends seem to characterize our age .
ENFP	Life would be infinitely happier if we could only be born at the age of eighty and gradually approach eighteen .
INTJ	When marrying , ask yourself this question : Do you believe that you will be able to converse well with this person into your old age ? Everything else in marriage is transitory .
INFJ	As human beings , our greatness lies not so much in being able to remake the world - that is the myth of the atomic age - as in being able to remake ourselves .
INFP	A man loves the meat in his youth that he can not endure in his age .
INFJ	In every country and every age , the priest had been hostile to Liberty .
INFP	The golden age is before us , not behind us .
INFJ	Every formula of every religion has in this age of reason , to submit to the acid test of reason and universal assent .
ESFP	Thomas Jefferson once said , 'We should never judge a president by his age , only by his works . ' And ever since he told me that , I stopped worrying .
ENFP	No woman should ever be quite accurate about her age . It looks so calculating .
ENTP	At twenty years of age the will reigns at thirty , the wit and at forty , the judgment .
ENFP	Age does not protect you from love . But love , to some extent , protects you from age .
ESFP	Information is the oxygen of the modern age . It seeps through the walls topped by barbed wire , it wafts across the electrified borders .
ESFP	We prefer world law in the age of self-determination to world war in the age of mass extermination .
ENTJ	Education is the best provision for old age .
ISFP	Sometimes I think it would be easier to avoid old age , to die young , but then you 'd never complete your life , would you ? You 'd never wholly know you .
ENFJ	I do n't think of myself as a poor deprived ghetto girl who made good . I think of myself as somebody who from an early age knew I was responsible for myself , and I had to make good .
ISFP	The kids are old enough now - I just want to let them be kids . I do n't want to comment on them too much . They 're at an age where I just want to let them be kids .
ENFJ	Why should society feel responsible only for the education of children , and not for the education of all adults of every age ?
ESTP	Hesitation increases in relation to risk in equal proportion to age .
ENFJ	Books were my pass to personal freedom . I learned to read at age three , and soon discovered there was a whole world to conquer that went beyond our farm in Mississippi .
INFP	In our age there is no such thing as 'keeping out of politics . ' All issues are political issues , and politics itself is a mass of lies , evasions , folly , hatred and schizophrenia .
ENFP	The secret of genius is to carry the spirit of the child into old age , which mean never losing your enthusiasm .
ESFP	We are n't in an information age , we are in an entertainment age .
ENTP	He who has not the spirit of this age , has all the misery of it .
ISTP	I think being able to age gracefully is a very important talent . It is too late for me .
ESTP	Age wrinkles the body . Quitting wrinkles the soul .
ENTP	I do n't need you to remind me of my age . I have a bladder to do that for me .
ESTP	Men of age object too much , consult too long , adventure too little , repent too soon , and seldom drive business home to the full period , but content themselves with a mediocrity of success .
ENTJ	Dressing up is a bore . At a certain age , you decorate yourself to attract the opposite sex , and at a certain age , I did that . But I 'm past that age .
ISTP	How young can you die of old age ?
ISTJ	If youth knew if age could .
ISFP	I think the biggest disease the world suffers from in this day and age is the disease of people feeling unloved . I know that I can give love for a minute , for half an hour , for a day , for a month , but I can give . I am very happy to do that , I want to do that .
ENFP	The charm of history and its enigmatic lesson consist in the fact that , from age to age , nothing changes and yet everything is completely different .
ISFP	I created Punk for this day and age . Do you see Britney walking around wearing ties and singing punk ? Hell no . That 's what I do . I 'm like a Sid Vicious for a new generation .
ENFP	We are all geniuses up to the age of ten .
INTJ	Every age has its own poetry in every age the circumstances of history choose a nation , a race , a class to take up the torch by creating situations that can be expressed or transcended only through poetry .
ISFP	I suppose when they reach a certain age some men are afraid to grow up . It seems the older the men get , the younger their new wives get .
ESFP	Publishing is in a kind of Jurassic age .
ENTP	To teach how to live without certainty and yet without being paralysed by hesitation is perhaps the chief thing that philosophy , in our age , can do for those who study it .
ENTP	It is possible that mankind is on the threshold of a golden age but , if so , it will be necessary first to slay the dragon that guards the door , and this dragon is religion .
ENTJ	Nobody expects to trust his body overmuch after the age of fifty .
ESTJ	I have the problems of , I must confess , old age .
ESFJ	Bad news is n't wine . It does n't improve with age .
INFP	Not to expose your true feelings to an adult seems to be instinctive from the age of seven or eight onwards .
ENTP	Admiration of the proletariat , like that of dams , power stations , and aeroplanes , is part of the ideology of the machine age .
ENTP	But the age of chivalry is gone . That of sophisters , economists , and calculators has succeeded and the glory of Europe is extinguished forever .
INTJ	The ruling ideas of each age have ever been the ideas of its ruling class .
ENTP	The arrogance of age must submit to be taught by youth .
ISFP	The biggest disease this day and age is that of people feeling unloved .
ISTJ	Few women , I fear , have had such reason as I have to think the long sad years of youth were worth living for the sake of middle age .
ESTJ	And in my own life , in my own small way , I 've tried to give back to this country that has given me so much . That 's why I left a job at a law firm for a career in public service , working to empower young people to volunteer in their communities . Because I believe that each of us - no matter what our age or background or walk of life - each of us has something to contribute to the life of this nation .
ISFP	I cried on my 18th birthday . I thought 17 was such a nice age . You 're young enough to get away with things , but you 're old enough , too .
INFP	Man has no Body distinct from his Soul for that called Body is a portion of Soul discerned by the five Senses , the chief inlets of Soul in this age .
ESTJ	Swing voters are more appropriately known as the 'idiot voters ' because they have no set of philosophical principles . By the age of fourteen , you 're either a Conservative or a Liberal if you have an IQ above a toaster .
INFJ	What is an adult ? A child blown up by age .
INTP	Intelligent life on a planet comes of age when it first works out the reason for its own existence .
ESTP	I think we ought to raise the age at which juveniles can have a gun .
INTP	I was confirmed at my prep school at the age of 13 .
ESFJ	And I 'm afraid , in this day and age , trust , which I count so , you know , I love loyalty . I love trust .
ENFJ	What turns me on about the digital age , what excited me personally , is that you have closed the gap between dreaming and doing . You see , it used to be that if you wanted to make a record of a song , you needed a studio and a producer . Now , you need a laptop .
ESFJ	I wanted to be a teacher . I love children , so I wanted to deal with children . Then I wanted to be a veterinarian . But by the age of ten or eleven , when I opened my mouth and said , 'Oh , God , what 's this ? ' I kind of knew teaching and being a veterinarian were gon na have to wait .
INFP	It seems as if an age of genius must be succeeded by an age of endeavour riot and extravagance by cleanliness and hard work .
ISFP	I believe we should encourage children to sing and play instruments from an early age .
ESTJ	I 'm at peace with myself and where I am . In the past , I was always looking to see how everybody else was doing . I was n't competitive , I was comparative . I just wanted to be where everybody else was . Now I 've gotten to an age when I am not comparing anymore .
ESTP	We have entered an age in which education is not just a luxury permitting some men an advantage over others . It has become a necessity without which a person is defenseless in this complex , industrialized society . We have truly entered the century of the educated man .
INFJ	It is old age , rather than death , that is to be contrasted with life . Old age is life 's parody , whereas death transforms life into a destiny : in a way it preserves it by giving it the absolute dimension . Death does away with time .
INFP	It 's not catastrophes , murders , deaths , diseases , that age and kill us it 's the way people look and laugh , and run up the steps of omnibuses .
INTP	It 's really amazing that in the age of unbelief , as a smart man called it , there is n't even more fraud . After all , with no God , there 's no one to ever call you to account , and no accounting at all if you can get away with it .
ISFP	In fact , my courage and my bravery at a young age was the thing I was bullied for , a kind of 'Who do you think you are ? '
INTJ	People until I was 60 would always say they thought I looked younger , which I think , without flattering myself , I did , but I think I certainly have , as George Orwell says people do after a certain age , the face they deserve .
INFP	O love , if I regret the age when one savors you , it is not for the hour of pleasure , but for the one that follows it .
ISFP	I 'm well past the age where I 'm acceptable . You get to a certain age and you are forbidden access . You 're not going to get the kind of coverage that you would like in music magazines , you 're not going to get played on radio and you 're not going to get played on television . I have to survive on word of mouth .
INTJ	Well , I 'm in my 60s now . I finally look it , I think . People until I was 60 would always say they thought I looked younger , which I think , without flattering myself , I did , but I think I certainly have , as George Orwell says people do after a certain age , the face they deserve .
INTJ	'Bombing Afghanistan back into the Stone Age ' was quite a favourite headline for some wobbly liberals . The slogan does all the work . But an instant 's thought shows that Afghanistan is being , if anything , bombed out of the Stone Age .
ENFP	Of course , the ideal scenario for parenting is obviously two parents of a mature age .
ENFP	You know what makes me feel old ? When I see girls who are 20-something , or the new crop of actresses , and think , Are n't we kind of the same age ?
ENTP	I 'll tell you , there is nothing better in life than being a late bloomer . I believe that success can happen at any time and at any age .
INFP	You get to a certain age where you prepare yourself for happiness . Sometimes you never remember to actually get happy .
INFJ	If you age with somebody , you go through so many roles - you 're lovers , friends , enemies , colleagues , strangers you 're brother and sister . That 's what intimacy is , if you 're with your soulmate .
ESFJ	With age , you see people fail more . You see yourself fail more . How do you keep that fearlessness of a kid ? You keep going . Luckily , I 'm not afraid to make a fool of myself .
ISFJ	I 'm not as far along as Jack Nicklaus was at this age , but I 'm trying .
INFP	You 'd think that in this age , especially in the 21st century - especially with all the technology and all the discoveries that we 've made - that we would figure out how to tackle abuse .
ENTP	I never - you know also one of the things that would save me for a man my age , it was not that easy to lose that much weight and fall down and look like something draped .
ESTP	My justification is that most people my age spend a lot of time thinking about what they 're going to do for the next five or ten years . The time they spend thinking about their life , I just spend drinking .
INFJ	At a certain age it just became apparent to me that this was probably the work that I would have to do .
ESFJ	Why should 20-year-olds only be considered sexy ? I think we get better with age .
INTP	To be free in an age like ours , one must be in a position of authority . That in itself would be enough to make me ambitious .
INFJ	I remember at the age of five travelling on a trolley car with my mother past a group of women on a picket line at a textile plant , seeing them being viciously beaten by security people . So that kind of thing stayed with me .
ISTP	I 'm asked all the time in interviews about who I am , and I know a few people my age who have a strong sense of self , but I could n't say I know myself and sum it up and give it to you in a little package . I do n't know myself at all yet .
